Id,SalePrice
1461,115000
1462,161591
1463,180144
1464,203454
1465,180855
1466,174000
1467,176494
1468,158039
1469,170000
1470,118101
1471,168523
1472,108000
1473,103417
1474,159616
1475,109687
1476,337290
1477,225486
1478,260000
1479,255712
1480,362003
1481,280065
1482,190527
1483,170000
1484,162245
1485,179065
1486,213965
1487,347634
1488,209415
1489,200000
1490,240514
1491,167738
1492,96412
1493,177949
1494,285324
1495,294048
1496,239967
1497,185000
1498,164903
1499,165503
1500,152000
1501,178000
1502,157516
1503,335000
1504,251881
1505,216886
1506,179756
1507,235000
1508,216940
1509,144000
1510,135000
1511,135904
1512,154763
1513,143925
1514,170000
1515,189868
1516,149659
1517,155000
1518,129797
1519,180839
1520,125602
1521,129000
1522,162871
1523,124000
1524,124285
1525,119000
1526,119650
1527,115000
1528,140047
1529,134464
1530,165491
1531,129947
1532,109000
1533,129000
1534,123000
1535,135000
1536,114994
1537,60097
1538,158877
1539,185000
1540,106423
1541,129000
1542,138172
1543,190000
1544,82735
1545,115000
1546,124500
1547,130522
1548,132000
1549,107490
1550,124870
1551,112158
1552,140000
1553,160000
1554,124404
1555,162026
1556,92923
1557,116544
1558,92988
1559,88000
1560,124910
1561,140868
1562,118994
1563,120333
1564,164935
1565,138869
1566,210893
1567,66845
1568,230000
1569,119589
1570,140850
1571,120658
1572,137500
1573,239934
1574,119142
1575,194732
1576,210739
1577,176788
1578,156000
1579,149929
1580,180000
1581,162765
1582,118927
1583,231644
1584,213426
1585,132000
1586,47769
1587,102112
1588,137443
1589,90739
1590,136472
1591,94791
1592,110000
1593,125000
1594,139980
1595,131500
1596,215000
1597,173295
1598,213833
1599,151313
1600,140000
1601,46380
1602,118172
1603,80000
1604,214000
1605,210796
1606,158000
1607,159989
1608,193733
1609,169947
1610,149913
1611,140000
1612,175254
1613,153498
1614,117983
1615,93630
1616,66676
1617,91401
1618,119878
1619,129000
1620,160000
1621,143000
1622,155000
1623,234974
1624,191000
1625,110000
1626,138154
1627,187500
1628,255746
1629,175062
1630,314916
1631,185000
1632,207521
1633,169490
1634,185836
1635,181000
1636,148453
1637,200000
1638,191000
1639,207500
1640,260000
1641,172523
1642,229755
1643,239829
1644,232219
1645,192000
1646,143686
1647,153406
1648,118000
1649,135000
1650,125000
1651,115000
1652,100000
1653,109900
1654,140000
1655,132212
1656,135545
1657,162961
1658,138327
1659,104997
1660,161792
1661,395535
1662,370284
1663,274215
1664,566340
1665,232188
1666,264913
1667,341026
1668,244830
1669,244549
1670,276826
1671,212993
1672,335000
1673,250000
1674,213009
1675,172007
1676,181004
1677,200068
1678,379666
1679,290000
1680,296671
1681,212922
1682,235113
1683,170842
1684,176000
1685,192038
1686,154190
1687,172958
1688,175000
1689,189998
1690,189000
1691,176000
1692,251516
1693,145005
1694,180117
1695,151198
1696,241674
1697,168737
1698,334715
1699,316890
1700,267123
1701,304283
1702,198281
1703,202524
1704,212167
1705,208563
1706,360053
1707,207500
1708,202789
1709,230000
1710,210257
1711,255996
1712,249837
1713,241957
1714,213002
1715,209962
1716,159337
1717,153939
1718,141000
1719,181707
1720,180000
1721,153000
1722,142066
1723,147978
1724,173906
1725,225720
1726,189000
1727,141879
1728,148000
1729,164544
1730,156000
1731,127456
1732,126761
1733,118000
1734,121414
1735,126000
1736,110564
1737,266098
1738,294470
1739,298927
1740,228880
1741,191000
1742,179903
1743,181621
1744,343495
1745,197008
1746,187444
1747,226218
1748,239946
1749,143000
1750,125000
1751,262339
1752,113000
1753,136972
1754,180000
1755,160857
1756,135000
1757,109001
1758,137000
1759,153500
1760,158000
1761,148057
1762,185000
1763,187137
1764,125000
1765,185973
1766,189012
1767,222256
1768,125959
1769,173078
1770,160000
1771,123441
1772,145000
1773,135000
1774,147430
1775,133827
1776,128611
1777,105792
1778,142592
1779,127500
1780,160832
1781,135000
1782,91488
1783,140000
1784,110000
1785,118089
1786,151945
1787,181108
1788,59577
1789,85915
1790,84996
1791,154996
1792,155867
1793,135232
1794,159952
1795,130000
1796,124936
1797,118500
1798,119148
1799,115000
1800,127000
1801,130490
1802,130241
1803,150950
1804,135000
1805,134908
1806,125836
1807,133000
1808,129018
1809,127888
1810,148963
1811,105000
1812,108000
1813,129000
1814,87000
1815,39932
1816,102254
1817,115000
1818,145659
1819,130424
1820,59914
1821,120000
1822,130000
1823,37598
1824,119000
1825,136500
1826,98020
1827,105000
1828,143759
1829,110359
1830,141000
1831,141383
1832,82415
1833,139065
1834,120000
1835,130000
1836,122616
1837,99731
1838,118500
1839,127929
1840,135000
1841,134908
1842,98110
1843,133780
1844,135000
1845,149368
1846,145585
1847,157300
1848,38149
1849,119000
1850,133000
1851,143974
1852,133778
1853,126194
1854,148000
1855,132500
1856,219035
1857,140000
1858,134879
1859,118498
1860,141000
1861,121928
1862,294141
1863,266057
1864,255909
1865,252988
1866,262387
1867,179144
1868,248419
1869,185896
1870,192964
1871,207524
1872,174077
1873,239147
1874,155000
1875,205658
1876,196567
1877,176992
1878,193330
1879,119159
1880,128000
1881,216339
1882,239015
1883,179165
1884,200025
1885,200845
1886,232467
1887,189000
1888,217651
1889,177381
1890,130000
1891,120000
1892,88000
1893,127494
1894,132500
1895,127566
1896,127243
1897,120000
1898,128515
1899,139547
1900,137976
1901,180268
1902,138351
1903,199738
1904,143000
1905,184706
1906,144000
1907,214000
1908,110000
1909,130072
1910,121508
1911,215002
1912,318931
1913,135000
1914,54589
1915,262498
1916,61486
1917,226931
1918,145000
1919,170000
1920,148091
1921,286628
1922,239921
1923,250000
1924,186480
1925,187500
1926,316308
1927,128261
1928,142887
1929,140000
1930,126000
1931,140000
1932,142994
1933,172513
1934,200085
1935,179742
1936,183818
1937,194493
1938,175000
1939,236613
1940,174680
1941,190000
1942,205000
1943,178957
1944,325000
1945,287046
1946,132000
1947,260395
1948,159906
1949,209979
1950,175000
1951,230000
1952,189000
1953,159401
1954,179353
1955,140000
1956,270198
1957,151000
1958,240550
1959,144000
1960,111071
1961,110000
1962,102000
1963,116852
1964,116031
1965,135000
1966,128000
1967,239949
1968,342894
1969,278236
1970,338832
1971,429647
1972,320896
1973,248738
1974,314925
1975,445395
1976,250000
1977,286592
1978,316464
1979,241175
1980,178635
1981,205000
1982,190000
1983,180925
1984,178000
1985,190297
1986,179902
1987,174000
1988,178079
1989,177938
1990,202535
1991,197528
1992,188972
1993,159935
1994,230000
1995,178000
1996,230000
1997,301290
1998,287964
1999,305999
2000,325000
2001,301799
2002,219918
2003,229004
2004,255335
2005,196613
2006,208934
2007,227664
2008,197730
2009,181856
2010,176000
2011,149775
2012,154001
2013,185000
2014,182824
2015,198150
2016,177557
2017,189105
2018,123509
2019,128125
2020,107265
2021,101853
2022,180445
2023,136952
2024,317842
2025,340408
2026,172846
2027,173548
2028,167977
2029,175000
2030,255517
2031,227150
2032,240000
2033,229311
2034,170000
2035,218168
2036,180000
2037,180867
2038,322034
2039,177807
2040,239716
2041,285811
2042,243975
2043,159998
2044,172490
2045,179921
2046,153875
2047,141000
2048,129606
2049,146000
2050,171708
2051,106642
2052,131500
2053,149900
2054,96691
2055,153499
2056,165072
2057,105357
2058,224224
2059,139000
2060,162992
2061,164988
2062,126434
2063,122585
2064,129960
2065,119354
2066,159158
2067,132500
2068,142670
2069,83920
2070,125000
2071,105982
2072,129824
2073,137500
2074,162018
2075,140000
2076,116906
2077,146453
2078,124966
2079,143177
2080,134622
2081,122924
2082,123000
2083,149346
2084,112000
2085,114827
2086,110000
2087,115000
2088,105986
2089,72609
2090,135000
2091,122794
2092,133991
2093,124954
2094,117500
2095,140615
2096,67305
2097,113000
