Id,SalePrice
1461,118000
1462,160000
1463,180518
1464,201000
1465,180974
1466,173987
1467,175397
1468,159637
1469,172487
1470,118500
1471,167975
1472,108000
1473,103966
1474,155998
1475,110000
1476,325409
1477,222420
1478,260000
1479,255682
1480,362052
1481,279982
1482,190448
1483,170000
1484,161700
1485,177594
1486,206478
1487,345798
1488,207532
1489,195166
1490,237450
1491,168051
1492,96189
1493,176000
1494,283309
1495,290000
1496,238923
1497,181000
1498,163000
1499,163992
1500,152000
1501,176468
1502,158000
1503,317505
1504,248164
1505,215000
1506,179485
1507,234980
1508,213376
1509,144997
1510,135807
1511,137478
1512,155000
1513,142152
1514,165287
1515,186355
1516,148000
1517,156000
1518,131108
1519,181000
1520,126939
1521,129000
1522,164712
1523,121904
1524,125000
1525,119915
1526,121734
1527,117841
1528,139658
1529,134542
1530,165492
1531,130000
1532,107176
1533,130000
1534,121785
1535,135000
1536,115000
1537,65388
1538,159000
1539,183626
1540,104910
1541,131127
1542,136500
1543,185000
1544,82616
1545,115000
1546,125000
1547,130035
1548,130000
1549,109105
1550,124500
1551,112000
1552,138980
1553,155000
1554,124500
1555,163462
1556,93781
1557,113000
1558,92553
1559,85731
1560,124500
1561,139000
1562,120500
1563,120229
1564,163494
1565,139000
1566,213213
1567,67701
1568,228011
1569,122112
1570,141000
1571,120500
1572,139000
1573,235000
1574,119930
1575,192450
1576,213406
1577,172554
1578,156917
1579,148000
1580,180779
1581,159984
1582,120000
1583,231002
1584,209958
1585,132912
1586,53292
1587,103246
1588,136973
1589,91000
1590,135862
1591,95417
1592,110000
1593,125000
1594,133904
1595,128668
1596,213028
1597,173000
1598,207500
1599,153505
1600,142032
1601,48592
1602,118500
1603,80820
1604,213026
1605,209724
1606,158000
1607,161301
1608,197000
1609,169689
1610,149310
1611,140000
1612,173866
1613,155000
1614,116743
1615,90640
1616,66876
1617,90252
1618,120000
1619,129829
1620,161944
1621,143000
1622,153627
1623,230000
1624,191000
1625,113000
1626,140000
1627,185901
1628,252178
1629,174344
1630,301858
1631,185000
1632,205924
1633,168000
1634,184000
1635,180000
1636,149000
1637,199740
1638,192000
1639,201000
1640,250000
1641,173000
1642,230000
1643,239000
1644,230000
1645,190000
1646,146000
1647,153505
1648,119983
1649,135000
1650,125500
1651,117997
1652,101506
1653,109812
1654,140000
1655,132500
1656,136325
1657,159500
1658,140000
1659,108000
1660,161288
1661,392601
1662,354981
1663,275000
1664,554864
1665,235000
1666,266231
1667,336554
1668,245634
1669,250000
1670,275554
1671,214000
1672,335000
1673,251514
1674,213473
1675,173154
1676,181192
1677,200000
1678,385523
1679,295407
1680,286748
1681,210000
1682,238959
1683,173000
1684,174272
