Id,SalePrice
1461,132492
1462,149230
1463,186185
1464,191238
1465,182285
1466,173476
1467,186768
1468,171914
1469,182151
1470,125124
1471,181768
1472,103559
1473,98481
1474,146134
1475,114258
1476,334524
1477,256768
1478,272488
1479,230494
1480,456524
1481,318474
1482,199048
1483,186312
1484,161421
1485,172330
1486,196859
1487,315970
1488,225258
1489,206522
1490,209169
1491,183224
1492,103681
1493,171665
1494,282375
1495,299577
1496,238143
1497,183857
1498,154321
1499,156681
1500,156992
1501,175386
1502,118040
1503,267407
1504,246546
1505,245251
1506,210009
1507,229816
1508,193799
1509,164862
1510,147579
1511,140837
1512,174093
1513,138206
1514,160974
1515,166843
1516,122564
1517,148935
1518,136178
1519,213905
1520,139276
1521,140944
1522,157744
1523,116470
1524,121337
1525,120516
1526,124889
1527,121900
1528,141895
1529,143778
1530,209697
1531,109801
1532,86247
1533,148481
1534,117560
1535,148650
1536,120635
1537,74144
1538,116214
1539,184523
1540,95215
1541,156163
1542,132493
1543,182178
1544,80220
1545,116599
1546,121341
1547,135125
1548,129098
1549,120584
1550,120124
1551,107276
1552,119796
1553,141223
1554,125170
1555,198159
1556,104193
1557,113852
1558,92455
1559,54259
1560,132426
1561,153237
1562,144721
1563,135958
1564,149826
1565,129400
1566,252663
1567,84179
1568,224854
1569,142994
1570,136634
1571,118239
1572,154040
1573,198055
1574,121610
1575,220124
1576,245110
1577,195532
1578,147972
1579,147229
1580,181963
1581,162439
1582,140241
1583,318962
1584,223146
1585,142055
1586,73842
1587,99842
1588,146190
1589,94774
1590,122905
1591,105914
1592,125748
1593,116202
1594,121207
1595,101000
1596,268031
1597,175844
1598,178606
1599,155963
1600,150594
1601,57745
1602,127115
1603,80722
1604,283338
1605,208952
1606,165519
1607,135254
1608,217900
1609,198508
1610,162472
1611,138757
1612,156394
1613,137356
1614,123066
1615,94144
1616,78066
1617,88581
1618,125860
1619,144408
1620,165352
1621,132689
1622,151316
1623,281806
1624,214994
1625,119366
1626,153796
1627,183511
1628,258600
1629,173016
1630,370098
1631,230043
1632,254734
1633,162419
1634,187590
1635,178789
1636,154502
1637,171891
1638,219653
1639,191652
1640,246081
1641,174173
1642,228001
1643,217565
1644,238412
1645,179301
1646,158995
1647,152851
1648,133348
1649,141381
1650,102544
1651,122528
1652,96673
1653,101398
1654,148789
1655,138678
1656,143058
1657,152635
1658,145732
1659,133350
1660,170860
1661,433928
1662,321888
1663,379526
1664,541881
1665,326993
1666,311836
1667,359360
1668,330009
1669,293869
1670,333386
1671,256895
1672,471831
1673,269630
1674,245257
1675,193469
1676,202812
1677,236492
1678,470514
1679,419359
1680,338853
1681,225646
1682,290961
1683,177390
1684,167843
1685,167047
1686,159005
1687,174268
1688,185710
1689,188533
1690,183195
1691,181433
1692,226716
1693,161472
1694,182802
1695,172677
1696,259904
1697,176285
1698,395596
1699,345093
1700,267250
1701,273710
1702,265713
1703,254643
1704,277352
1705,237997
1706,437789
1707,226513
1708,225300
1709,271779
1710,201001
1711,252799
1712,233553
1713,262044
1714,237305
1715,206680
1716,178138
1717,168799
1718,125113
1719,192933
1720,223463
1721,170609
1722,130007
1723,153847
1724,214571
1725,219231
1726,168908
1727,156349
1728,170533
1729,153178
1730,145701
1731,127145
1732,140055
1733,121738
1734,130723
1735,128885
1736,120832
1737,345543
1738,248209
1739,219622
1740,209289
1741,205895
1742,174225
1743,175920
1744,328567
1745,203380
1746,211074
1747,233484
1748,218072
1749,156912
1750,142053
1751,246284
1752,122734
1753,141504
1754,222743
1755,175041
1756,127343
1757,120044
1758,143868
1759,161095
1760,160004
1761,143220
1762,163478
1763,155755
1764,116464
1765,175502
1766,168816
1767,224034
1768,140946
1769,156437
1770,146036
1771,129622
1772,136620
1773,124094
1774,129028
1775,141822
1776,120830
1777,117482
1778,146282
1779,118778
1780,164906
1781,136732
1782,93091
1783,163638
1784,112994
1785,125861
1786,140235
1787,151672
1788,51729
1789,95443
1790,87191
1791,179539
1792,158944
1793,122425
1794,144531
1795,138299
1796,129168
1797,134646
1798,119545
1799,120532
1800,133846
1801,130084
1802,133382
1803,148669
1804,142016
1805,137461
1806,125459
1807,126668
1808,123500
1809,109717
1810,140369
1811,96918
1812,109012
1813,120212
1814,91352
1815,51017
1816,102509
1817,125832
1818,144522
1819,137920
1820,54399
1821,128792
1822,153190
1823,35135
1824,130442
1825,133542
1826,111364
1827,100504
1828,153394
1829,114655
1830,139456
1831,134298
1832,76073
1833,152313
1834,121651
1835,136581
1836,151061
1837,100725
1838,144898
1839,100486
1840,147167
1841,138663
1842,88978
1843,141497
1844,132800
1845,145561
1846,145246
1847,190268
1848,57663
1849,115964
1850,115826
1851,136434
1852,132398
1853,122740
1854,169578
1855,142581
1856,235807
1857,142876
1858,159486
1859,118034
1860,161860
1861,123288
1862,248329
1863,240683
1864,238593
1865,316977
1866,311101
1867,225112
1868,280785
1869,200244
1870,236031
1871,229582
1872,162636
1873,270094
1874,146613
1875,203901
1876,205647
1877,215868
1878,198053
