Id,SalePrice
1461,136138
1462,167125
1463,183017
1464,195200
1465,177135
1466,172982
1467,193738
1468,173141
1469,179647
1470,119788
1471,173247
1472,102487
1473,105037
1474,150294
1475,124143
1476,333815
1477,267652
1478,290689
1479,245783
1480,462578
1481,310685
1482,187939
1483,176674
1484,165397
1485,173537
1486,191587
1487,332044
1488,235761
1489,206848
1490,194597
1491,182738
1492,99656
1493,176347
1494,267157
1495,276897
1496,226647
1497,179246
1498,160292
1499,163809
1500,149218
1501,184438
1502,145176
1503,305314
1504,252302
1505,218447
1506,187035
1507,246791
1508,177419
1509,161268
1510,146604
1511,146227
1512,177858
1513,133451
1514,164753
1515,183551
1516,154364
1517,157583
1518,138759
1519,217138
1520,133697
1521,138389
1522,147277
1523,114263
1524,132672
1525,123513
1526,124760
1527,118658
1528,141299
1529,134316
1530,182512
1531,103426
1532,97138
1533,153463
1534,113790
1535,154660
1536,116328
1537,75697
1538,114800
1539,179964
1540,106296
1541,142405
1542,136210
1543,229408
1544,70536
1545,110853
1546,132153
1547,135583
1548,140953
1549,117288
1550,132875
1551,101662
1552,116669
1553,139787
1554,120573
1555,187815
1556,113352
1557,110171
1558,99425
1559,62384
1560,126632
1561,135663
1562,137577
1563,126727
1564,157185
1565,133077
1566,246293
1567,81899
1568,229300
1569,151712
1570,139290
1571,111510
1572,147644
1573,199786
1574,133688
1575,196177
1576,224634
1577,187581
1578,142999
1579,148273
1580,202500
1581,168243
1582,128137
1583,282778
1584,227423
1585,144395
1586,65200
1587,98639
1588,157286
1589,114422
1590,127352
1591,105190
1592,126925
1593,119232
1594,132062
1595,107401
1596,255442
1597,206568
1598,195225
1599,161486
1600,155061
1601,75386
1602,117727
1603,80408
1604,255794
1605,219541
1606,161923
1607,147251
1608,208673
1609,189754
1610,158625
1611,130228
1612,164729
1613,152272
1614,114867
1615,88673
1616,73053
1617,87190
1618,139467
1619,147131
1620,169418
1621,129038
1622,158673
1623,257618
1624,205073
1625,122066
1626,131071
1627,188315
1628,268828
1629,183980
1630,364986
1631,227667
1632,249313
1633,166539
1634,189061
1635,172247
1636,152270
1637,191043
1638,205500
1639,181062
1640,257323
1641,169980
1642,222603
1643,221858
1644,227496
