Id,SalePrice
1461,136637
1462,167335
1463,185504
1464,190893
1465,193478
1466,179246
1467,185032
1468,175315
1469,185759
1470,133489
1471,175706
1472,97807
1473,95942
1474,141975
1475,113051
1476,359513
1477,260871
1478,305163
1479,275774
1480,423801
1481,317352
1482,201455
1483,184408
1484,165029
1485,163840
1486,197545
1487,368257
1488,252050
1489,199024
1490,210056
1491,195931
1492,128173
1493,162125
1494,270316
1495,282541
1496,218485
1497,197092
1498,161097
1499,161421
1500,162050
1501,173609
1502,133551
1503,297905
1504,238243
1505,241088
1506,202373
1507,224699
1508,192503
1509,171403
1510,155511
1511,152765
1512,169774
1513,142838
1514,159508
1515,203620
1516,139135
1517,142396
1518,148512
1519,193569
1520,136743
1521,136903
1522,156941
1523,123127
1524,126413
1525,124260
1526,127460
1527,124449
1528,135150
1529,140581
1530,204277
1531,130628
1532,106154
1533,155118
1534,120435
1535,160081
1536,129904
1537,94746
1538,158059
1539,162335
1540,123259
1541,136815
1542,135887
1543,181383
1544,77762
1545,102757
1546,121329
1547,132310
1548,132352
1549,122770
1550,132627
1551,127098
1552,131267
1553,136443
1554,123520
1555,193788
1556,147246
1557,121173
1558,93016
1559,110812
1560,143398
1561,149424
1562,129101
1563,130630
1564,154514
1565,141495
1566,251867
1567,88884
1568,210064
1569,155741
1570,127184
1571,121332
1572,138777
1573,189492
1574,146696
1575,216836
1576,228252
1577,187453
1578,155339
1579,143353
1580,191974
1581,146887
1582,139047
1583,314590
1584,238082
1585,143253
1586,77119
1587,98925
1588,155569
1589,117071
1590,127899
1591,104194
1592,132131
1593,124632
1594,133121
1595,114867
1596,240522
1597,196614
1598,173674
1599,153520
1600,164772
1601,87340
1602,127452
1603,112384
1604,289235
1605,206728
1606,163043
1607,167721
1608,207607
1609,175315
1610,159201
1611,141981
1612,167947
1613,161299
1614,128652
1615,92730
1616,92521
1617,94899
1618,123670
1619,131893
1620,167170
1621,130377
1622,157213
1623,267291
1624,192859
1625,125182
1626,158027
1627,186818
1628,259549
1629,172942
1630,381100
1631,225368
1632,246845
1633,165262
1634,183087
1635,174897
1636,164207
1637,198488
1638,211540
1639,197756
1640,241387
1641,183110
1642,209224
1643,236725
1644,230317
1645,213691
1646,163008
1647,164071
1648,142621
1649,132336
1650,130816
1651,126485
1652,93861
1653,94149
1654,140467
1655,137482
1656,141561
1657,140672
1658,143908
1659,133776
1660,145134
1661,432303
1662,371742
1663,407297
1664,483304
1665,331260
1666,329349
1667,370771
1668,333137
1669,270284
1670,337245
1671,258809
1672,414889
1673,266613
1674,258583
1675,198533
1676,198797
1677,205557
1678,495086
1679,367968
1680,352631
1681,242945
1682,292324
1683,204991
1684,173988
1685,175234
1686,166733
1687,165102
1688,187016
1689,196399
1690,175216
1691,167406
1692,234191
1693,137552
1694,175746
1695,168922
1696,244905
1697,168692
1698,344237
1699,343680
1700,254118
1701,263362
1702,260581
1703,257362
1704,268571
1705,233069
1706,432766
1707,208839
1708,217142
1709,273118
1710,230639
1711,237487
1712,248119
1713,255392
1714,225154
1715,195451
1716,193464
1717,160351
1718,145800
1719,199628
1720,252528
1721,186295
1722,141546
1723,153156
1724,212125
1725,218475
1726,184447
1727,182343
1728,168851
1729,153665
1730,149538
1731,126878
1732,139642
1733,126308
1734,129524
1735,125067
1736,114271
1737,333246
1738,222609
1739,319702
1740,207664
1741,191113
1742,174247
1743,173563
1744,318290
1745,243108
1746,205440
1747,214551
1748,226184
1749,171769
1750,162115
1751,242799
1752,122095
1753,155056
1754,228762
1755,171227
1756,131752
1757,117721
1758,155609
1759,158236
1760,165846
1761,152411
1762,174827
1763,163281
1764,127787
1765,172307
1766,161304
1767,221976
1768,141236
1769,159769
1770,134882
1771,139931
1772,159614
1773,147984
1774,149312
1775,129756
1776,122983
1777,113443
1778,132601
1779,114437
1780,141521
1781,133396
1782,101045
1783,150985
1784,100374
1785,118555
1786,161792
1787,147135
1788,68579
1789,96379
1790,90412
1791,173675
1792,155607
1793,131358
1794,131493
1795,126139
1796,110585
1797,140990
1798,124637
1799,115143
1800,118593
1801,132575
1802,150784
1803,150941
1804,131961
1805,131530
1806,122380
1807,130478
1808,99096
1809,107747
1810,134718
1811,119519
1812,118902
1813,124900
1814,107589
1815,65079
1816,97500
1817,127872
1818,143662
1819,124742
1820,89305
1821,129644
1822,151786
1823,68384
1824,141606
1825,125694
1826,97572
1827,119935
1828,151481
1829,141060
1830,134201
1831,136147
1832,137778
1833,150274
1834,123424
1835,145115
1836,142804
1837,102635
1838,130905
1839,101735
1840,131907
1841,130025
1842,90330
1843,147741
1844,118138
1845,154709
1846,143606
1847,172547
1848,70339
1849,103390
1850,124512
1851,130984
1852,135909
1853,132294
1854,151747
1855,148174
1856,235622
1857,145603
1858,161455
1859,117259
1860,166689
1861,117456
1862,276703
1863,270445
1864,271870
1865,330978
1866,323680
1867,252413
1868,297750
1869,199297
1870,238852
1871,270713
1872,172951
1873,247427
1874,144092
1875,208091
1876,194753
1877,209711
1878,221169
1879,136677
1880,138600
1881,299031
1882,254010
1883,196790
1884,214961
1885,238557
1886,286121
1887,207001
1888,265901
1889,166333
1890,139200
1891,131288
1892,110466
1893,135690
1894,146501
1895,149550
1896,119723
1897,111508
1898,124660
1899,162412
1900,160655
1901,166880
1902,173472
1903,215307
1904,148853
1905,198856
1906,165003
1907,205011
1908,123480
1909,133531
1910,128787
1911,197188
1912,297178
1913,163669
1914,73318
1915,317585
1916,76000
1917,254136
1918,133543
1919,160517
1920,159652
1921,380195
1922,315596
1923,215222
1924,247930
1925,218787
1926,385470
1927,129377
1928,158584
1929,122821
1930,130751
1931,132920
1932,132551
1933,171882
1934,181128
1935,174632
1936,187221
1937,186327
1938,185863
1939,247729
1940,191160
1941,181286
1942,179200
1943,192007
1944,301011
1945,335873
1946,195820
1947,317835
1948,199585
1949,242089
1950,185872
1951,286894
1952,248605
1953,171683
1954,187906
1955,151198
1956,274345
1957,175562
1958,300077
1959,146737
1960,123921
1961,127133
1962,94286
1963,123766
1964,124230
1965,142307
1966,136839
1967,289893
1968,394228
1969,335600
1970,428879
1971,428525
1972,327484
1973,241173
1974,302388
1975,501068
1976,265316
1977,335064
1978,363037
1979,326891
1980,198925
1981,340826
1982,202268
1983,202035
1984,174708
1985,215744
1986,213679
1987,166158
1988,176413
1989,192416
1990,215039
1991,205336
1992,204135
1993,170513
1994,221981
1995,182558
1996,265364
1997,336171
1998,323910
1999,235417
2000,317381
2001,259166
2002,225163
2003,256496
2004,257736
2005,218195
2006,232698
2007,253076
2008,198568
2009,189990
2010,197282
2011,147040
2012,158440
2013,169925
2014,186568
2015,200119
2016,190204
2017,193002
2018,132203
2019,130977
2020,106282
2021,118766
2022,195078
2023,151346
2024,238046
2025,450199
2026,183541
2027,160668
2028,164586
2029,174144
2030,283456
2031,228828
2032,238948
2033,248210
2034,167100
2035,196453
2036,197041
2037,198668
2038,290821
2039,192649
2040,360725
2041,277827
2042,207378
2043,186702
2044,201911
2045,229945
2046,183603
2047,139040
2048,137055
2049,149333
2050,173057
2051,106312
2052,142162
2053,143011
2054,91464
2055,160277
2056,130970
2057,124331
2058,203789
2059,128914
2060,166914
2061,168272
2062,132045
2063,109424
2064,136799
2065,122072
2066,159885
2067,111638
2068,142996
2069,84547
2070,118648
2071,96539
2072,149304
2073,132789
2074,167300
2075,137911
2076,121357
2077,156107
2078,130283
2079,133665
2080,123880
2081,122977
2082,146272
2083,136595
2084,111964
2085,125598
2086,91075
2087,121648
2088,129856
2089,94228
2090,136681
2091,128662
2092,140811
2093,148381
2094,105112
2095,146564
2096,82551
2097,97292
2098,147749
2099,63237
2100,97456
2101,135078
2102,126343
2103,97397
2104,142277
2105,125853
2106,91769
2107,213883
2108,123876
2109,121188
2110,128710
2111,133163
2112,147182
2113,103580
2114,123068
2115,135179
2116,120318
2117,152686
2118,121140
2119,118184
2120,126740
2121,95262
2122,125668
2123,82487
2124,152113
2125,145271
2126,162071
2127,156312
2128,130653
2129,105727
2130,135352
2131,150604
2132,130986
2133,121748
2134,120804
2135,97211
2136,86745
2137,125979
2138,135707
2139,142486
2140,133179
2141,133318
2142,128291
2143,141090
2144,137575
2145,132899
2146,160477
2147,170714
2148,131756
2149,136994
2150,212824
2151,98745
2152,162145
2153,178312
2154,87599
2155,127031
2156,226980
2157,244527
2158,219458
2159,202836
2160,166919
2161,251557
2162,412519
2163,330660
2164,239611
2165,190950
2166,145649
2167,210224
2168,192146
2169,185630
2170,213962
2171,165281
2172,145574
2173,189528
2174,238579
2175,290753
2176,297045
2177,239616
2178,198248
2179,144391
2180,203362
2181,198996
2182,217887
2183,199342
2184,134811
2185,129532
2186,140669
2187,148804
2188,132590
2189,222119
2190,89556
2191,90691
2192,87379
2193,96461
2194,96107
2195,119650
2196,99922
2197,126602
2198,149632
2199,154124
2200,160476
2201,164194
2202,176682
2203,174573
2204,179494
2205,150331
2206,157086
2207,230967
2208,220944
2209,203477
2210,126965
2211,109655
2212,101723
2213,103918
2214,140040
2215,96827
2216,156330
2217,71066
2218,83502
2219,78577
2220,92511
2221,317734
2222,263704
2223,280766
2224,192094
2225,113353
2226,181224
2227,199082
2228,251842
2229,229959
2230,160163
2231,195897
2232,199326
2233,180765
2234,235859
2235,215205
2236,263499
2237,336363
2238,168762
2239,123046
2240,147149
2241,157299
2242,131616
2243,129328
2244,97001
2245,94736
2246,137877
2247,94644
2248,131870
2249,119787
2250,128002
2251,107336
2252,161692
2253,132340
2254,174879
2255,187929
2256,174734
2257,206920
2258,165077
2259,186247
2260,170950
2261,182494
2262,191504
2263,299282
2264,457011
2265,184466
2266,266902
2267,367957
2268,335762
2269,172622
2270,173454
2271,209422
2272,196844
2273,176491
2274,190328
2275,193098
2276,192571
2277,189097
2278,153701
2279,128063
2280,126921
2281,166330
2282,167025
2283,97776
2284,123468
2285,136249
2286,129257
2287,326421
2288,280488
2289,364726
2290,433523
2291,290032
2292,401618
2293,461488
2294,416160
2295,442206
2296,325347
2297,294763
2298,325249
2299,366203
2300,324165
2301,258206
2302,252716
2303,261483
2304,262083
2305,192597
2306,192387
2307,192809
2308,238134
2309,269857
2310,200972
2311,205938
2312,174936
2313,175080
2314,171775
2315,174629
2316,175858
2317,188032
2318,174928
2319,174634
2320,170744
2321,242545
2322,177004
2323,160854
2324,163770
2325,211957
2326,164274
2327,203515
2328,217416
2329,182810
2330,201491
2331,353155
2332,387899
2333,318757
2334,256703
2335,285041
2336,327075
2337,211270
2338,268855
2339,234865
2340,365773
2341,219064
2342,233198
2343,222656
2344,225509
2345,255379
2346,221661
2347,206880
2348,237250
2349,163942
2350,280256
2351,258430
2352,252403
2353,223007
2354,138414
2355,148468
2356,146899
2357,207341
2358,192125
2359,147160
2360,127444
2361,141576
2362,257782
2363,139141
2364,165188
2365,229427
2366,172466
2367,231849
2368,203933
2369,229203
2370,173887
2371,173956
2372,211092
2373,250289
2374,313005
2375,231810
2376,298867
2377,344647
2378,161036
2379,197761
2380,151544
2381,179172
2382,203365
2383,221409
2384,237940
2385,156814
2386,141672
2387,135141
2388,99330
2389,124655
2390,138904
2391,136976
2392,112780
2393,145629
2394,142886
2395,178387
2396,143527
2397,190012
2398,131769
2399,67364
2400,65450
2401,108749
2402,137079
2403,146544
2404,139552
2405,158390
2406,133572
2407,130423
2408,156832
2409,134983
2410,158002
2411,128483
2412,158888
2413,140211
2414,129094
2415,145264
2416,124381
2417,127483
2418,127104
2419,138242
2420,129924
2421,154300
2422,120359
2423,129966
2424,159655
2425,228635
2426,141775
2427,123726
2428,165762
2429,116154
2430,129181
2431,113040
2432,132899
2433,142450
2434,142333
2435,153104
2436,106036
2437,115132
2438,132401
2439,121032
2440,129341
2441,119689
2442,108166
2443,118474
2444,128255
2445,91219
2446,132087
2447,163771
2448,134510
2449,129727
2450,146347
2451,125330
2452,216611
2453,96536
2454,99340
2455,122738
2456,128682
2457,122996
2458,101506
2459,109719
2460,144121
2461,121204
2462,131172
2463,123748
2464,163144
2465,130084
2466,124804
2467,128014
2468,87777
2469,92793
2470,174053
2471,176928
2472,155326
2473,125590
2474,103092
2475,225839
2476,127905
2477,130616
2478,154233
2479,115006
2480,130166
2481,117237
2482,130682
2483,111163
2484,129201
2485,127425
2486,140177
2487,183347
2488,131710
2489,161972
2490,138313
2491,90209
2492,191182
2493,126739
2494,155497
2495,96478
2496,227584
2497,160629
2498,119912
2499,86770
2500,128260
2501,134504
2502,135905
2503,123859
2504,206875
2505,218257
2506,254219
2507,340779
2508,253098
2509,233728
2510,236414
2511,194176
2512,210856
2513,211994
2514,272791
2515,146389
2516,168221
2517,142278
2518,150064
2519,222773
2520,196114
2521,194932
2522,215535
2523,139523
2524,138814
2525,143163
2526,146075
2527,116464
2528,138664
2529,140550
2530,137787
2531,247233
2532,215180
2533,211485
2534,233859
2535,314215
2536,227560
2537,231822
2538,175434
2539,185275
2540,185546
2541,175150
2542,163948
2543,134601
2544,129679
2545,138790
2546,144695
2547,139546
2548,143423
2549,143947
2550,317861
2551,131288
2552,124577
2553,88322
2554,119970
2555,98452
2556,111745
2557,126024
2558,167575
2559,167199
2560,160976
2561,123978
2562,163282
2563,163647
2564,187797
2565,147828
2566,160124
2567,152653
2568,205016
2569,198113
2570,126377
2571,205879
2572,149157
2573,228482
2574,261739
2575,126301
2576,134853
2577,147414
2578,99057
2579,85127
2580,138532
2581,149330
2582,120461
2583,250411
2584,159834
2585,172986
2586,184621
2587,170737
2588,130868
2589,142431
2590,215635
2591,215973
2592,225504
2593,245407
2594,185040
2595,199710
2596,317437
2597,204117
2598,255424
2599,319828
2600,164856
2601,130997
2602,92685
2603,96149
2604,92893
2605,94165
2606,143612
2607,183038
2608,191511
2609,157031
2610,114852
2611,159071
2612,143040
2613,132720
2614,132633
2615,156347
2616,137466
2617,166165
2618,178846
2619,214588
2620,186423
2621,176264
2622,193660
2623,237516
2624,312416
2625,350231
2626,168014
2627,179769
2628,333826
2629,452173
2630,317840
2631,433521
2632,385995
2633,313537
2634,419947
2635,155712
2636,204242
2637,176423
2638,248147
2639,180981
2640,164345
2641,114236
2642,172528
2643,98725
2644,133928
2645,94829
2646,93861
2647,125265
2648,143813
2649,142947
2650,134287
2651,142206
2652,411263
2653,259453
2654,259089
2655,392744
2656,284802
2657,330740
2658,286248
2659,286034
2660,321749
2661,317873
2662,321214
2663,266026
2664,263333
2665,318856
2666,315888
2667,172284
2668,174825
2669,188315
2670,257959
2671,175107
2672,189684
2673,206510
2674,205878
2675,163932
2676,183267
2677,188059
2678,242736
2679,264254
2680,263388
2681,390650
2682,334822
2683,564193
2684,319749
2685,348275
2686,255969
2687,346115
2688,231545
2689,196240
2690,400769
2691,193597
2692,145769
2693,207727
2694,144324
2695,196956
2696,176768
2697,203593
2698,212876
2699,185099
2700,167029
2701,152174
2702,122464
2703,129322
2704,137474
2705,124807
2706,126367
2707,135867
2708,128570
2709,98773
2710,124959
2711,309166
2712,349313
2713,181435
2714,161406
2715,174266
2716,131144
2717,198212
2718,240333
2719,169569
2720,175525
2721,138760
2722,157077
2723,135386
2724,132552
2725,138672
2726,141142
2727,166107
2728,158498
2729,143530
2730,140570
2731,120947
2732,121518
2733,157534
2734,156852
2735,131007
2736,143745
2737,126510
2738,147820
2739,156184
2740,125831
2741,142487
2742,154710
2743,151916
2744,158294
2745,132965
2746,132239
2747,126926
2748,114025
2749,133224
2750,129778
2751,129084
2752,179039
2753,160260
2754,209738
2755,134328
2756,93462
2757,98910
2758,93606
2759,148286
2760,128699
2761,141973
2762,143728
2763,182194
2764,131769
2765,239864
2766,154924
2767,90372
2768,143822
2769,121265
2770,137828
2771,121810
2772,130115
2773,151724
2774,145931
2775,131781
2776,131784
2777,144167
2778,88381
2779,130481
2780,117807
2781,108317
2782,100993
2783,125071
2784,127217
2785,149925
2786,84658
2787,121048
2788,89464
2789,215824
2790,119757
2791,123059
2792,76569
2793,154536
2794,121557
2795,120347
2796,106488
2797,161433
2798,127540
2799,121357
2800,74248
2801,118497
2802,126682
2803,163782
2804,123492
2805,85578
2806,104255
2807,134695
2808,153882
2809,131906
2810,133224
2811,154812
2812,141107
2813,158439
2814,162944
2815,118089
2816,239438
2817,152581
2818,124644
2819,180166
2820,149681
2821,118942
2822,165353
2823,262121
2824,169474
2825,134166
2826,125389
2827,135606
2828,209933
2829,211668
2830,236208
2831,196121
2832,216367
2833,286109
2834,217000
2835,223353
2836,198814
2837,171299
2838,147045
2839,191092
2840,202873
2841,199159
2842,217519
2843,164750
2844,172754
2845,122808
2846,212371
2847,189991
2848,200794
2849,207831
2850,258821
2851,222960
2852,219577
2853,226063
2854,143876
2855,199804
2856,200463
2857,194384
2858,197693
2859,133794
2860,110237
2861,124974
2862,176612
2863,109777
2864,238633
2865,131660
2866,144802
2867,96968
2868,111518
2869,141070
2870,146419
2871,96386
2872,69279
2873,119068
2874,134590
2875,127829
2876,153938
2877,129329
2878,172554
2879,134535
2880,103207
2881,172232
2882,171751
2883,177285
2884,173801
2885,173669
2886,215794
2887,119582
2888,133637
2889,69236
2890,93653
2891,145931
2892,63679
2893,85017
2894,70778
2895,307216
2896,302091
2897,176970
2898,154304
2899,193845
2900,144794
2901,207603
2902,198180
2903,316044
2904,325192
2905,107301
2906,168936
2907,98793
2908,126368
2909,152869
2910,92083
2911,92685
2912,146289
2913,93338
2914,92521
2915,92730
2916,93948
2917,165758
2918,114546
2919,187281
